utterance,response,speaker,responder,error,age,response_time,utterance_time,past_tense,plural,overreg,overlap,source_file,error_type,rl
is it washed,oh this is beautiful,CHI,MOT,FALSE,24,0.21699999999998454,1.9159999999999968,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-02a.xml,no error,4
they done Mummy,you can dip in an egg today,CHI,MOT,FALSE,24,2.8090000000000828,1.2429999999999382,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-02a.xml,no error,7
xxx scared,you going to give Mama a big kiss,CHI,MOT,FALSE,24,-0.31899999999996,0.73700000000008,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-02a.xml,no error,8
cups,xxx ah xxx,CHI,FAT,FALSE,24,0.022999999999967713,0.6620000000000346,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-02b.xml,no error,3
I made xxx coffee,do you not think xxx,CHI,MOT,FALSE,24,-1.3229999999998654,1.856000000000222,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-02b.xml,no error,5
where Mama gone,xxx,CHI,FAT,TRUE,24,-0.6040000000000418,2.089999999999918,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-03a.xml,other error,1
gone see Ewww,xxx,CHI,FAT,FALSE,24,0.9279999999998836,2.4850000000001273,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-03a.xml,no error,1
it stuck,is it stuck,CHI,MOT,TRUE,24,0.17400000000003502,1.752999999999986,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-03b.xml,other error,3
I got stomach ache,have you got stomach ache,CHI,MOT,TRUE,24,0.05200000000002092,2.495999999999981,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-03b.xml,other error,5
Daddy I did nappie,whooh,CHI,FAT,FALSE,24,0.08899999999994179,1.97400000000016,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-03b.xml,no error,1
I did that,whooh,CHI,FAT,FALSE,24,-0.27800000000002,1.2300000000000182,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-03b.xml,no error,1
hey look my teddy's got,ah,CHI,FAT,TRUE,24,-1.6720000000000255,2.229000000000042,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-03b.xml,other error,1
Mummy xxx you want xxx Mama's arms,okay darling,CHI,MOT,FALSE,24,-0.6029999999998381,3.6569999999999254,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-03b.xml,no error,2
where's Mama gone,Mama's on the telephone,CHI,FAT,FALSE,24,-0.40599999999994907,1.461999999999989,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-03b.xml,no error,5
xxx Mama gone,xxx,CHI,MOT,FALSE,24,-0.6069999999999709,2.2639999999998963,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-03b.xml,no error,1
yellows,yellow daffodil,CHI,FAT,TRUE,24,-0.10500000000001819,0.8479999999999563,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-03b.xml,other error,2
I teared it,hm,CHI,FAT,TRUE,24,0.2199999999997999,1.1959999999999127,TRUE,FALSE,TRUE,FALSE,eleanor/2-00-03b.xml,overregularization,1
it's raining it's pouring old man is snoring went to bed bumped,bumped his head,CHI,MOT,TRUE,24,-2.19399999999996,9.414999999999964,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-04b.xml,other error,3
three ears,three,CHI,MOT,FALSE,24,0.09300000000030195,0.8239999999996144,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-04v.xml,no error,1
I got jacket on,doesn't know about the xxx,CHI,MOT,TRUE,24,-2.078000000000003,2.2520000000000024,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-05b.xml,other error,6
I like I like red and blue socks,all right,CHI,MOT,FALSE,24,-0.7429999999999382,2.9840000000000373,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-05b.xml,no error,2
what happened,xxx,CHI,MOT,FALSE,24,-0.48699999999996635,1.2419999999999618,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-05b.xml,no error,1
I got it,what have you got there,CHI,MOT,FALSE,24,-1.102999999999838,1.102999999999838,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-06a.xml,no error,5
I got it Mummy,you've got Bella,CHI,MOT,FALSE,24,-1.5670000000000073,1.6479999999999109,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-06a.xml,no error,4
we got l,yeah you've got l on yours,CHI,FAT,FALSE,24,0.057999999999992724,1.879000000000019,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-06b.xml,no error,7
I wanna play games,alright let me hear no crying here's your that's golf,CHI,MOT,FALSE,24,-0.7899999999999636,2.1829999999999927,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-06b.xml,no error,12
where's ball gone,it's over here,CHI,FAT,TRUE,24,0.1430000000000291,2.1480000000000246,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-08b.xml,other error,4
Dada xxx gone,roar,CHI,FAT,FALSE,24,-2.995999999999867,2.995999999999867,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-08b.xml,no error,1
trunks,they're trunks,CHI,MOT,FALSE,24,0.22100000000000364,1.5090000000000146,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-08v.xml,no error,3
the nappies,put them back please,CHI,MOT,FALSE,24,-0.9979999999999905,1.0439999999999827,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-09a.xml,no error,4
it tomatoes,m,CHI,MOT,FALSE,24,-0.4880000000000564,1.5440000000000964,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-09a.xml,no error,1
arrows,yeah you put a stamp on number twelve,CHI,MOT,FALSE,24,0.2090000000002874,0.9519999999997708,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-09a.xml,no error,8
pears,one two pears,CHI,MOT,FALSE,24,-1.8100000000004002,1.8110000000001492,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-09a.xml,no error,3
oranges,on Saturday he ate through one piece of,CHI,MOT,FALSE,24,4.99599999999964,1.2660000000000764,FALSE,TRUE,FALSE,FALSE,eleanor/2-00-09a.xml,no error,8
look I made dog,there's a dog what noise does a dog make,CHI,MOT,TRUE,24,-0.06700000000000728,2.227000000000089,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-10a.xml,other error,10
I want I want sleep Mama's arms,no,CHI,MOT,TRUE,24,-2.1020000000000323,4.122000000000014,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-10b.xml,other error,1
crocodiles,crocodiles and what do crocodiles do,CHI,MOT,FALSE,24,0,1.1019999999998618,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-11a.xml,no error,6
kept it,do you not want to make something with your Play_Doh today,CHI,MOT,FALSE,24,4.91399999999976,2.229000000000269,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-11a.xml,no error,12
I got look xxx I got Mama,shall Mama do my hand shall I do my hand,CHI,MOT,FALSE,24,0.023000000000138243,2.8799999999996544,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-11a.xml,no error,10
I broken it,you broke it darling,CHI,FAT,TRUE,24,0.5219999999999345,1.9510000000000218,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-11b.xml,other error,4
I got hot,you got,CHI,FAT,TRUE,24,0.13899999999989632,1.4629999999999654,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-11b.xml,other error,2
I found,ah that's Thomas_the_Tank_Engine,CHI,FAT,TRUE,24,0.047000000000025466,0.9629999999999654,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-11b.xml,other error,7
I got,eighteen nineteen and,CHI,MOT,FALSE,24,0.009000000000014552,0.56899999999996,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-12a.xml,no error,3
drawers,good girl,CHI,MOT,FALSE,24,-0.09299999999996089,0.5339999999999918,FALSE,TRUE,FALSE,TRUE,eleanor/2-00-16a.xml,no error,2
Mummy Eleanor made a mess,who made a mess,CHI,MOT,FALSE,24,0.012000000000057298,2.298999999999978,TRUE,FALSE,FALSE,FALSE,eleanor/2-00-16a.xml,no error,4
I done a painting,Eleanor,CHI,MOT,TRUE,24,-0.7080000000000837,1.5090000000000146,TRUE,FALSE,FALSE,TRUE,eleanor/2-00-16a.xml,other error,1
