,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file,overreg_candidate,overreg
1,one ladybirds,where's the ladybird,0.263,CHI,MOT,2.229,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-01b.xml,TRUE,F
2,broken blues clues,broken blues clues,0.039,CHI,MOT,2.612,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-02a.xml,TRUE,F
3,a crickets,mhm hm,0.175,CHI,MOT,1.393,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-03b.xml,TRUE,F
4,two feets,oh oh oh,0.012,CHI,MOT,1.056,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-10a.xml,TRUE,T
5,zero done,you done it,-0.998,CHI,MOT,1.033,TRUE,24,TRUE,FALSE,TRUE,fraser/2-00-10a.xml,TRUE,F
6,Jwww the balls,Jwww's in the balls isn't he,0.018,CHI,MOT,2.102,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
7,Jwww no shoes on,yeah,0,CHI,MOT,1.904,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
8,glasses on,oh no be careful with them because you're hurting Mummy,0.081,CHI,MOT,1.057,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
9,glasses on,your glasses are here,0.023,CHI,MOT,1.439,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
10,oh Fraser done,oh Fraser what have you done,0.336,CHI,MOT,3.402,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-15a.xml,TRUE,F
11,xxx things do,so many things to do,0.299,CHI,MOT,2.009,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-15a.xml,TRUE,F
12,Fraser turn pages,what are you saying sweetheart,3.349,CHI,MOT,1.985,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-15a.xml,TRUE,F
13,no feets,where's Fraser's feet,0.012,CHI,MOT,1.184,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-15a.xml,TRUE,T
14,the ball wet,the ball is wet yes,0.228,CHI,MOT,2.914,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-16a.xml,TRUE,F
15,that was lion get out,what are you saying to the lion,1.424,CHI,MOT,3.228,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-16a.xml,TRUE,F
16,that cards,yeah,0.011,CHI,MOT,1.196,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-18a.xml,TRUE,F
17,zero got,oh Fraser don't do that darling,0.267,CHI,MOT,0.708,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-18a.xml,TRUE,F
