,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file,overreg_candidate,manual_code
1,where Mama gone,xxx,-0.604,CHI,FAT,2.09,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-03a.xml,TRUE,F
2,it stuck,is it stuck,0.174,CHI,MOT,1.753,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-03b.xml,TRUE,F
3,I got stomach ache,have you got stomach ache,0.052,CHI,MOT,2.496,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-03b.xml,TRUE,F
4,hey look my teddy's got,ah,-1.672,CHI,FAT,2.229,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-03b.xml,TRUE,F
5,yellows,yellow daffodil,-0.105,CHI,FAT,0.848,TRUE,24,FALSE,TRUE,TRUE,eleanor/2-00-03b.xml,TRUE,F
6,I teared it,hm,0.22,CHI,FAT,1.196,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-03b.xml,TRUE,T
7,it's raining it's pouring old man is snoring went to bed bumped,bumped his head,-2.194,CHI,MOT,9.415,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-04b.xml,TRUE,F
8,I got jacket on,doesn't know about the xxx,-2.078,CHI,MOT,2.252,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-05b.xml,TRUE,F
9,where's ball gone,it's over here,0.143,CHI,FAT,2.148,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-08b.xml,TRUE,F
10,look I made dog,there's a dog what noise does a dog make,-0.067,CHI,MOT,2.227,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-10a.xml,TRUE,F
11,I want I want sleep Mama's arms,no,-2.102,CHI,MOT,4.122,TRUE,24,FALSE,TRUE,TRUE,eleanor/2-00-10b.xml,TRUE,F
12,I broken it,you broke it darling,0.522,CHI,FAT,1.951,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-11b.xml,TRUE,F
13,I got hot,you got,0.139,CHI,FAT,1.463,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-11b.xml,TRUE,F
14,I found,ah that's Thomas_the_Tank_Engine,0.047,CHI,FAT,0.963,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-11b.xml,TRUE,F
15,I done a painting,Eleanor,-0.708,CHI,MOT,1.509,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-16a.xml,TRUE,F
16,where Jeannine gone,oh xxx,-0.488,CHI,MOT,2.032,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-16a.xml,TRUE,F
17,look what Kwww got,look,-0.395,CHI,FAT,2.009,TRUE,24,TRUE,FALSE,TRUE,eleanor/2-00-16b.xml,TRUE,F
18,Gwww falled down,oh no,0.018,CHI,FAT,2.299,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-16b.xml,TRUE,T
19,I did rolly,wow,0.323,CHI,FAT,1.94,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-17b.xml,TRUE,F
20,head shoulder knees and toes knees and toes,NA,-4.411,CHI,FAT,4.411,TRUE,24,FALSE,TRUE,TRUE,eleanor/2-00-22b.xml,TRUE,F
21,no I done me wet,have you done a weewee,0.178,CHI,MOT,2.427,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-22b.xml,TRUE,F
22,Po where Lala gone,um,0.093,CHI,FAT,2.293,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-23b.xml,TRUE,F
23,I got pink nose,you got a pink nose,0.21,CHI,MOT,1.555,TRUE,24,TRUE,FALSE,FALSE,eleanor/2-00-23v.xml,TRUE,F
24,I see the spiders the museum,spiders were there a lot of spiders were they big or were they small,0.052,CHI,MOT,2.462,TRUE,24,FALSE,TRUE,FALSE,eleanor/2-00-23v.xml,TRUE,F
