utterance,response,speaker,responder,error,age,response_time,utterance_time,past_tense,plural,overreg,overlap,source_file,error_type,rl
one ladybirds,where's the ladybird,CHI,MOT,TRUE,24,0.26299999999991996,2.229000000000042,FALSE,TRUE,FALSE,FALSE,fraser/2-00-01b.xml,other error,4
xxx peas,what's that,CHI,MOT,FALSE,24,1.1959999999999127,2.0779999999999745,FALSE,TRUE,FALSE,FALSE,fraser/2-00-01b.xml,no error,3
broken blues clues,broken blues clues,CHI,MOT,TRUE,24,0.03899999999998727,2.61200000000008,TRUE,FALSE,FALSE,FALSE,fraser/2-00-02a.xml,other error,3
three buckles,uhuh,CHI,MOT,FALSE,24,0.057999999999992724,1.5090000000000146,FALSE,TRUE,FALSE,FALSE,fraser/2-00-02b.xml,no error,1
buckles,buckles,CHI,MOT,FALSE,24,1.3240000000000691,1.2529999999997017,FALSE,TRUE,FALSE,FALSE,fraser/2-00-02b.xml,no error,1
say buckles,you're funny aren't you,CHI,MOT,FALSE,24,1.7559999999998581,1.6260000000002037,FALSE,TRUE,FALSE,FALSE,fraser/2-00-02b.xml,no error,6
yeah did it,yeah,CHI,MOT,FALSE,24,0,1.4729999999999563,TRUE,FALSE,FALSE,FALSE,fraser/2-00-03a.xml,no error,1
moles,what's this,CHI,MOT,FALSE,24,-1.1610000000000582,1.1610000000000582,FALSE,TRUE,FALSE,TRUE,fraser/2-00-03a.xml,no error,3
got,what's she got,CHI,MOT,FALSE,24,0.11599999999998545,0.8360000000002401,TRUE,FALSE,FALSE,FALSE,fraser/2-00-03a.xml,no error,4
all gone now,all gone now,CHI,MOT,FALSE,24,-1.5330000000001291,1.5330000000001291,TRUE,FALSE,FALSE,TRUE,fraser/2-00-03b.xml,no error,3
a crickets,mhm hm,CHI,MOT,TRUE,24,0.17499999999972715,1.393000000000029,FALSE,TRUE,FALSE,FALSE,fraser/2-00-03b.xml,other error,2
sheeps do,what does a sheep what does a piggy do,CHI,MOT,FALSE,24,0.035000000000081855,1.6489999999998872,FALSE,TRUE,FALSE,FALSE,fraser/2-00-05a.xml,no error,9
oh that's bouncing castles,what's wrong,CHI,MOT,FALSE,24,0.030000000000001137,4.295999999999992,FALSE,TRUE,FALSE,FALSE,fraser/2-00-06b.xml,no error,3
huh run away,xxx out,CHI,MOT,FALSE,24,-1.009999999999991,1.5560000000000116,TRUE,FALSE,FALSE,TRUE,fraser/2-00-08a.xml,no error,2
