utterance,response,speaker,responder,error,age,overreg,response_time,utterance_time,past_tense,plural,ul,error_type,rl
two mens men,two men,CHI,MOT,TRUE,26,TRUE,-0.16300000000001091,1.4160000000001673,FALSE,TRUE,3,overregularization,2
two mens men,two men,CHI,MOT,TRUE,26,TRUE,0.0729999999998654,1.4160000000001673,FALSE,TRUE,3,overregularization,2
two mans men,two mans,CHI,MOT,TRUE,26,TRUE,0.3020000000001346,2.0670000000000073,FALSE,TRUE,3,overregularization,2
two mans men,two mans,CHI,MOT,TRUE,26,TRUE,1.0679999999997563,1.1030000000000655,FALSE,TRUE,3,overregularization,2
baby mans men,oh you've put some men over your eyes,CHI,MOT,TRUE,26,TRUE,0.6190000000001419,1.5790000000001783,FALSE,TRUE,3,overregularization,9
two foots,two foots,CHI,MOT,TRUE,28,TRUE,0.24499999999989086,1.6660000000001673,FALSE,TRUE,2,overregularization,2
two peoples,two people,CHI,MOT,TRUE,28,TRUE,0.04599999999999227,1.48599999999999,FALSE,TRUE,2,overregularization,2
a tree falled over,the tree's going to fall over because the train is going to hit them,CHI,MOT,TRUE,29,TRUE,0.010999999999967258,1.8119999999998981,TRUE,FALSE,4,overregularization,15
two mans men,we can do it with the men,CHI,MOT,TRUE,30,TRUE,0.906999999999698,0.8110000000001492,FALSE,TRUE,3,overregularization,7
a falled over,who fell over,CHI,MOT,TRUE,30,TRUE,0.12800000000015643,1.9389999999998508,TRUE,FALSE,3,overregularization,3
yellow fishes,some fish,CHI,MOT,TRUE,31,TRUE,-0.12000000000000455,1.1999999999999886,FALSE,TRUE,2,overregularization,2
uh buy fishes and sausages,fishes and sausages,CHI,MOT,TRUE,31,TRUE,-0.035000000000081855,2.54300000000012,FALSE,TRUE,5,overregularization,3
um a lot of mans men,pardon,CHI,MOT,TRUE,31,TRUE,0.6849999999999454,2.088999999999942,FALSE,TRUE,6,overregularization,1
lot of mans men,a lot of mans,CHI,MOT,TRUE,31,TRUE,0.0039999999999054126,1.1959999999999127,FALSE,TRUE,4,overregularization,4
lot of rubbishes,a lot of rubbish,CHI,MOT,TRUE,32,TRUE,0.19700000000011642,1.7179999999998472,FALSE,TRUE,3,overregularization,4
a my holded it,we'll keep it out because you might have a lot of fun playing with it mightn't you,CHI,MOT,TRUE,33,TRUE,-0.023000000000138243,1.7760000000002947,TRUE,FALSE,4,overregularization,19
I fixeded fixed it,you fixeded it,CHI,MOT,TRUE,33,TRUE,0.06999999999970896,1.5210000000001855,TRUE,FALSE,4,overregularization,3
lots_of fishes,do you think there are a lot of fishes,CHI,MOT,TRUE,33,TRUE,-0.09100000000034925,2.425000000000182,FALSE,TRUE,3,overregularization,9
saw some big fishes,you saw some big fishes,CHI,MOT,TRUE,33,TRUE,0.02299999999991087,2.066000000000031,FALSE,TRUE,4,overregularization,5
I have builded it,you've builded it,CHI,MOT,TRUE,33,TRUE,0.22000000000002728,1.9969999999998436,TRUE,FALSE,4,overregularization,4
eated it,she eaten eat,CHI,MOT,TRUE,33,TRUE,0.04599999999982174,0.9410000000002583,TRUE,FALSE,2,overregularization,3
it's not it's not fixeded fixed,it's not fixeded,CHI,MOT,TRUE,33,TRUE,-0.0929999999998472,2.530999999999949,TRUE,FALSE,8,overregularization,4
Bob_the_Builder nearly runned,pardon,CHI,MOT,TRUE,33,TRUE,1.6369999999997162,2.3330000000000837,TRUE,FALSE,5,overregularization,1
Bob_Builder fixeded fixed it,Bob_the_Builder fixed it,CHI,MOT,TRUE,33,TRUE,0.012000000000170985,2.031999999999698,TRUE,FALSE,5,overregularization,5
good mans men,he's a good man is he,CHI,MOT,TRUE,34,TRUE,0.4639999999999418,1.8110000000001492,FALSE,TRUE,3,overregularization,7
an droved away,he's driving away,CHI,MOT,TRUE,34,TRUE,0.36000000000012733,1.2769999999998163,TRUE,FALSE,3,overregularization,4
lady getted off it a did something,the lady got off a blue caravan to get something,CHI,MOT,TRUE,34,TRUE,0.6409999999999911,4.13300000000001,TRUE,FALSE,7,overregularization,10
someone droved over on path,pardon,CHI,MOT,TRUE,34,TRUE,0.6269999999999527,2.2640000000001237,TRUE,FALSE,5,overregularization,1
someone droved over path,yes,CHI,MOT,TRUE,34,TRUE,-0.047000000000025466,1.683999999999969,TRUE,FALSE,4,overregularization,1
just remember runned,you've just remember to run like the dustbin man when he gets out of his cab,CHI,MOT,TRUE,35,TRUE,0.06000000000040018,2.6349999999997635,TRUE,FALSE,3,overregularization,17
droved away,what did the policeman find when he went to see the fireman,CHI,MOT,TRUE,35,TRUE,1.4399999999998272,1.9160000000001673,TRUE,FALSE,2,overregularization,12
dustbin man tipper throwed it away,oh,CHI,MOT,TRUE,35,TRUE,0.20899999999983265,5.8400000000001455,TRUE,FALSE,6,overregularization,1
Judy throwed it,Judy threw something away,CHI,MOT,TRUE,35,TRUE,0.23299999999994725,1.9039999999999964,TRUE,FALSE,3,overregularization,4
big snake goed around,has somebody called you mischief,CHI,MOT,TRUE,35,TRUE,0.03499999999985448,2.19399999999996,TRUE,FALSE,4,overregularization,5
big wind comed up and blows two down,the big the big wind come up and blown two of them down,CHI,MOT,TRUE,35,TRUE,0.5429999999996653,4.423000000000229,TRUE,FALSE,8,overregularization,13
dirty beer lorry bringed that,the beer lorry brings that,CHI,MOT,TRUE,35,TRUE,0.023999999999887223,2.2289999999998145,TRUE,FALSE,5,overregularization,5
