"","utterance","response","response_time","speaker","responder","utterance_time","error","age","past_tense","plural","overlap","source_file","overreg_candidate"
"1","one ladybirds","where's the ladybird",0.26299999999992,"CHI","MOT",2.22900000000004,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-01b.xml",TRUE
"2","broken blues clues","broken blues clues",0.0389999999999873,"CHI","MOT",2.61200000000008,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-02a.xml",TRUE
"3","a crickets","mhm hm",0.174999999999727,"CHI","MOT",1.39300000000003,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-03b.xml",TRUE
"4","two feets","oh oh oh",0.012000000000171,"CHI","MOT",1.05599999999981,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-10a.xml",TRUE
"5","zero done","you done it",-0.998000000000047,"CHI","MOT",1.03300000000036,TRUE,24,TRUE,FALSE,TRUE,"fraser/2-00-10a.xml",TRUE
"6","Jwww the balls","Jwww's in the balls isn't he",0.0180000000000291,"CHI","MOT",2.10199999999986,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"7","Jwww no shoes on","yeah",0,"CHI","MOT",1.904,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"8","glasses on","oh no be careful with them because you're hurting Mummy",0.0809999999996762,"CHI","MOT",1.05700000000024,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"9","glasses on","your glasses are here",0.0230000000001382,"CHI","MOT",1.43899999999985,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"10","oh Fraser done","oh Fraser what have you done",0.336000000000013,"CHI","MOT",3.40199999999993,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-15a.xml",TRUE
"11","xxx things do","so many things to do",0.298999999999978,"CHI","MOT",2.00900000000001,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-15a.xml",TRUE
"12","Fraser turn pages","what are you saying sweetheart",3.34900000000016,"CHI","MOT",1.98500000000013,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-15a.xml",TRUE
"13","no feets","where's Fraser's feet",0.012000000000171,"CHI","MOT",1.1840000000002,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-15a.xml",TRUE
"14","the ball wet","the ball is wet yes",0.228000000000009,"CHI","MOT",2.91399999999999,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-16a.xml",TRUE
"15","that was lion get out","what are you saying to the lion",1.42399999999998,"CHI","MOT",3.22800000000007,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-16a.xml",TRUE
"16","that cards","yeah",0.0110000000000809,"CHI","MOT",1.19599999999991,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-18a.xml",TRUE
"17","zero got","oh Fraser don't do that darling",0.26700000000028,"CHI","MOT",0.707999999999629,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-18a.xml",TRUE
