"","utterance","response","response_time","speaker","responder","utterance_time","error","age","past_tense","plural","overlap","source_file","overreg_candidate"
"1","where Mama gone","xxx",-0.604000000000042,"CHI","FAT",2.08999999999992,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-03a.xml",TRUE
"2","it stuck","is it stuck",0.174000000000035,"CHI","MOT",1.75299999999999,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-03b.xml",TRUE
"3","I got stomach ache","have you got stomach ache",0.0520000000000209,"CHI","MOT",2.49599999999998,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-03b.xml",TRUE
"4","hey look my teddy's got","ah",-1.67200000000003,"CHI","FAT",2.22900000000004,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-03b.xml",TRUE
"5","yellows","yellow daffodil",-0.105000000000018,"CHI","FAT",0.847999999999956,TRUE,24,FALSE,TRUE,TRUE,"eleanor/2-00-03b.xml",TRUE
"6","I teared it","hm",0.2199999999998,"CHI","FAT",1.19599999999991,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-03b.xml",TRUE
"7","it's raining it's pouring old man is snoring went to bed bumped","bumped his head",-2.19399999999996,"CHI","MOT",9.41499999999996,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-04b.xml",TRUE
"8","I got jacket on","doesn't know about the xxx",-2.078,"CHI","MOT",2.252,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-05b.xml",TRUE
"9","where's ball gone","it's over here",0.143000000000029,"CHI","FAT",2.14800000000002,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-08b.xml",TRUE
"10","look I made dog","there's a dog what noise does a dog make",-0.0670000000000073,"CHI","MOT",2.22700000000009,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-10a.xml",TRUE
"11","I want I want sleep Mama's arms","no",-2.10200000000003,"CHI","MOT",4.12200000000001,TRUE,24,FALSE,TRUE,TRUE,"eleanor/2-00-10b.xml",TRUE
"12","I broken it","you broke it darling",0.521999999999935,"CHI","FAT",1.95100000000002,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-11b.xml",TRUE
"13","I got hot","you got",0.138999999999896,"CHI","FAT",1.46299999999997,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-11b.xml",TRUE
"14","I found","ah that's Thomas_the_Tank_Engine",0.0470000000000255,"CHI","FAT",0.962999999999965,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-11b.xml",TRUE
"15","I done a painting","Eleanor",-0.708000000000084,"CHI","MOT",1.50900000000001,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-16a.xml",TRUE
"16","where Jeannine gone","oh xxx",-0.487999999999829,"CHI","MOT",2.0319999999997,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-16a.xml",TRUE
"17","look what Kwww got","look",-0.394999999999982,"CHI","FAT",2.00900000000001,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-16b.xml",TRUE
"18","Gwww falled down","oh no",0.0180000000000291,"CHI","FAT",2.29899999999998,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-16b.xml",TRUE
"19","I did rolly","wow",0.322999999999865,"CHI","FAT",1.94000000000005,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-17b.xml",TRUE
"20","head shoulder knees and toes knees and toes",NA,-4.41099999999983,"CHI","FAT",4.41099999999983,TRUE,24,FALSE,TRUE,TRUE,"eleanor/2-00-22b.xml",TRUE
"21","no I done me wet","have you done a weewee",0.178000000000338,"CHI","MOT",2.42699999999968,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-22b.xml",TRUE
"22","Po where Lala gone","um",0.093000000000302,"CHI","FAT",2.29300000000012,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-23b.xml",TRUE
"23","I got pink nose","you got a pink nose",0.210000000000036,"CHI","MOT",1.55500000000006,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-23v.xml",TRUE
"24","I see the spiders the museum","spiders were there a lot of spiders were they big or were they small",0.0519999999999072,"CHI","MOT",2.46199999999999,TRUE,24,FALSE,TRUE,FALSE,"eleanor/2-00-23v.xml",TRUE
"25","I did Tellytubbies on","where",0.15100000000001,"CHI","FAT",2.62399999999997,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-24b.xml",TRUE
"26","gone the shop","gone to the shop",0.574000000000012,"CHI","FAT",1.73000000000002,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-24b.xml",TRUE
"27","I got dirty hands","oh Eleanor let's have a look",-0.697000000000116,"CHI","MOT",2.06700000000001,TRUE,24,FALSE,TRUE,TRUE,"eleanor/2-00-26a.xml",TRUE
"28","what happened Pilchard","er try and remember correctly",0.856999999999971,"CHI","FAT",2.49800000000005,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-26b.xml",TRUE
"29","look I did painting","wow",1.00999999999999,"CHI","FAT",2.15300000000002,TRUE,24,TRUE,FALSE,FALSE,"eleanor/2-00-26b.xml",TRUE
"30","Eleanor Eleanor be tired","right give me a kiss first",-0.324999999999932,"CHI","MOT",1.68299999999999,TRUE,24,TRUE,FALSE,TRUE,"eleanor/2-00-28a.xml",TRUE
