,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,overreg_candidate,manual_code
1,this shoes,shoes,-0.244,CHI,MOT,2.426,TRUE,24,FALSE,TRUE,FALSE,TRUE,FALSE
2,two mens men,two men,-0.163,CHI,MOT,1.416,TRUE,26,FALSE,TRUE,FALSE,TRUE,TRUE
3,a bix biscuits,biscuits,-0.116,CHI,MOT,1.021,TRUE,26,FALSE,TRUE,FALSE,TRUE,FALSE
4,two mens men,two men,0.073,CHI,MOT,1.416,TRUE,26,FALSE,TRUE,FALSE,TRUE,TRUE
5,two mans men,two mans,0.302,CHI,MOT,2.067,TRUE,26,FALSE,TRUE,FALSE,TRUE,TRUE
6,two mans men,two mans,1.068,CHI,MOT,1.103,TRUE,26,FALSE,TRUE,FALSE,TRUE,TRUE
7,baby mans men,oh you've put some men over your eyes,0.619,CHI,MOT,1.579,TRUE,26,FALSE,TRUE,FALSE,TRUE,TRUE
8,oh two man men,that was some passengers waiting at the side of the platform for the train,2.859,CHI,MOT,2.16,TRUE,26,FALSE,TRUE,FALSE,TRUE,FALSE
9,bubble nan gone,where the bubble gone,0.012,CHI,MOT,1.625,TRUE,27,TRUE,FALSE,FALSE,TRUE,FALSE
10,a big bubbles,it is a big bubble isn't it,-0.256,CHI,MOT,2.09,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
11,xxx the watch cherries,watch the cherries,-0.395,CHI,MOT,4.423,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
12,no drops,no drops,-0.138,CHI,MOT,1.277,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
13,a big teef feet,they have big feet,-0.197,CHI,INV,1.556,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
14,two two moneys,two moneys,0.813,CHI,MOT,2.81,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
15,two moneys please,two moneys please,-0.089,CHI,MOT,1.892,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
16,two moneys,yes,0.035,CHI,MOT,1.219,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
17,two moneys,two moneys,0.035,CHI,MOT,1.045,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
18,moneys,moneys,-0.035,CHI,MOT,0.848,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
19,oh two ones,two ones,-0.14,CHI,MOT,1.394,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
20,two moneys two moneys two moneys,two moneys,-0.084,CHI,MOT,4.633,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
21,a more box of moneys,yes,0,CHI,MOT,2.287,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
22,box moneys,box moneys,-0.093,CHI,MOT,1.614,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
23,box of moneys,box of moneys,0.16,CHI,MOT,1.869,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
24,moneys,moneys,0.232,CHI,MOT,1.045,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
25,moneys,Mummy's,1.824,CHI,MOT,1.568,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
26,two moneys,two moneys,NA,CHI,MOT,media info not available,TRUE,27,FALSE,TRUE,FALSE,TRUE,FALSE
